gs_name,gene_symbol
Fatty Acid Oxidation Custom,Abcd1
Fatty Acid Oxidation Custom,Abcd3
Fatty Acid Oxidation Custom,Abcd4
Fatty Acid Oxidation Custom,Acaa2
Fatty Acid Oxidation Custom,Acacb
Fatty Acid Oxidation Custom,Acad10
Fatty Acid Oxidation Custom,Acad11
Fatty Acid Oxidation Custom,Acadl
Fatty Acid Oxidation Custom,Acadm
Fatty Acid Oxidation Custom,Acads
Fatty Acid Oxidation Custom,Acat1
Fatty Acid Oxidation Custom,Acox1
Fatty Acid Oxidation Custom,Acox2
Inflammation Custom,Alox5
Fatty Acid Oxidation Custom,Bdh2
Fibrosis Custom,Ccl3
Fibrosis Custom,Ccl4
Inflammation Custom,Ccl5
Fibrosis Custom,Ccr2
Inflammation Custom,Cebpb
Fatty Acid Oxidation Custom,Cnr1
Fibrosis Custom,Col11a2
Fibrosis Custom,Col4a3
Fibrosis Custom,Col4a3bp
Fibrosis Custom,Col4a4
Fatty Acid Oxidation Custom,Cpt2
Fatty Acid Oxidation Custom,Crat
Fibrosis Custom,Cxcl2
Inflammation Custom,Cxcl2
Fatty Acid Oxidation Custom,Decr2
Fatty Acid Oxidation Custom,Echdc2
Fatty Acid Oxidation Custom,Echs1
Fatty Acid Oxidation Custom,Ehhadh
Fatty Acid Oxidation Custom,Etfa
Fatty Acid Oxidation Custom,Etfb
Fatty Acid Oxidation Custom,Etfdh
Fatty Acid Oxidation Custom,Fabp1
Fibrosis Custom,Fgf2
Fibrosis Custom,Fgf7
Fatty Acid Oxidation Custom,Gcdh
Fatty Acid Oxidation Custom,Hadh
Fatty Acid Oxidation Custom,Hadha
Fatty Acid Oxidation Custom,Hadhb
Fibrosis Custom,Hmox1
Fatty Acid Oxidation Custom,Hsd17b4
Fibrosis Custom,Il1a
Inflammation Custom,Il1a
Fibrosis Custom,Il1b
Inflammation Custom,Il1b
Fibrosis Custom,Il6
Inflammation Custom,Il6
Inflammation Custom,Il7
Fatty Acid Oxidation Custom,Ivd
Inflammation Custom,Ly6a
Inflammation Custom,Ly6g
Fatty Acid Oxidation Custom,Mcat
Fibrosis Custom,Mmp17
Inflammation Custom,Mmp17
Fibrosis Custom,Mmp2
Inflammation Custom,Mmp2
Fibrosis Custom,Mmp7
Inflammation Custom,Mmp7
Inflammation Custom,Mmp8
Fibrosis Custom,Mmp9
Inflammation Custom,Mmp9
Fibrosis Custom,Nfe2l2
Inflammation Custom,Nlrp3
Inflammation Custom,Park7
Fibrosis Custom,Pdgfd
Fatty Acid Oxidation Custom,Ppara
Fatty Acid Oxidation Custom,Ppard
Inflammation Custom,S100a8
Inflammation Custom,S100a9
Inflammation Custom,Sema4d
Fibrosis Custom,Serpinh1
Fatty Acid Oxidation Custom,Slc27a22
Inflammation Custom,Stx11
Fibrosis Custom,Tgfa
Inflammation Custom,Thbs1
Fibrosis Custom,Timp2
Inflammation Custom,Tnf
Inflammation Custom,Tnfaip3
Fatty Acid Oxidation Custom,Twist1
Inflammation Custom,Vcam1
